ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Tipo Risposta,Note,,Campagna,Strategia
FIX001,TRISCELE Beauty,+393275464407,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX002,Esthena Nails e Benessere,+393335469382,4.7,2026-06-08 16:25,"No grazie per il momento non mi interessa
",,,,[''],Iniziale,Media (185 caratteri)
FIX003,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX004,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,2026-06-08 16:25,"Grazie per aver contattato Il Sogno Di Ogni Donna! Facci sapere come possiamo aiutarti.
Grazie del tuo messaggio al momento non siamo disponibili.
Le risponderemo appena possibile.",,,,[''],Iniziale,Media (185 caratteri)
FIX005,Glamour Sole e Bellezza,+393471079312,4.1,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX006,Bioperla - Centro Estetico a Catania,+393395929992,5,2026-06-08 16:25,"Grazie per aver contattato Bioperla! 
Ti risponderemo prima possibile 🧖🏻‍♀️",2026-06-08 16:25,,,[''],Iniziale,Media (185 caratteri)
FIX007,Elite Estetica,+393427675185,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX008,Om Estetica,+393928407565,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX009,LM Beauty nails,+393713360782,4.4,2026-06-08 16:25,"👋 Grazie per avermi contattata        
Per prenotazioni e informazioni, inviami un messaggio indicando il trattamento desiderato.
📅 Disponibile dal martedì al sabato.
Ti risponderò il prima possibile. 💕",,,,[''],Iniziale,Media (185 caratteri)
FIX010,MIDA nail care,+393290646988,4.9,2026-06-08 16:25,"Ciao.
Grazie per il tuo messaggio!
Gli uffici sono attivi da lunedì a venerdì, dalle 9:00 alle 18:00.
Risponderemo quanto prima alle tue necessità  ❤️",,,,[''],Iniziale,Media (185 caratteri)
FIX011,WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,+393355405415,4.9,2026-06-08 16:25,"✨ NOVITÀ ✨
Cellulite, gonfiore e difficoltà a perdere peso spesso hanno cause più profonde.
Scopri il nuovo metodo che unisce benessere metabolico, nutrizione funzionale e piani nutrizionali personalizzati con l’alimentazione mediterranea per favorire il dimagrimento e risultati concreti e misurabili.
Contattaci per saperne di più. 💚",,,,[''],Iniziale,Media (185 caratteri)
FIX012,Nail Salon di Ylenia Torrisi,+393932779198,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX013,GV Place - Rinascente,+393312942906,4.5,2026-06-08 16:25,Grazie per aver contattato Giovanni Ventura La Rinascente! Facci sapere come possiamo aiutarti.,,,,[''],Iniziale,Media (185 caratteri)
FIX014,Onico N𝒂𝒊𝒍𝒔 beauty Lab,+393791601727,4.4,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX015,VyBi Nails Catania di Viviana Barbagallo,+393270325417,4.6,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX016,Blossom beauty & spa,+393477494303,4.6,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX017,Coquette Wellness & Beauty - Catania,+393899923613,4.8,2026-06-08 16:25,"Benvenuta nel nostro canale di bellezza, come possiamo aiutarti?",,,,[''],Iniziale,Media (185 caratteri)
FIX018,Centro Valclè Beauty & Pilates,+393477090169,4.9,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX019,Just Beauty,+393445480767,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX020,Centro Estetico EstèRelax Beauty&Nails,+393711122241,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX021,Accademia Nicotra Catania,+393922467469,4.9,2026-06-08 16:25,"Grazie per avere contattato ACCADEMIA NICOTRA! Per accedere ai nostri programmi didattici memorizza il nostro numero nella tua rubrica contatti
Ciao sede dell’Accademia Nicotra? Catania Palermo Messina, Bologna o Milano?",,,,[''],Iniziale,Media (185 caratteri)
FIX022,Studio Estetica,+393208165715,4.2,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX023,Cristina Giuffrida Beauty Salon,+393516808430,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX024,Istituto di Bellezza di Santina Frazzetta,+393939349220,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX025,Namastè La Bottega Della Bellezza,+393456356305,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX026,Infinity Relax,+393938188193,4.6,2026-06-08 16:25,"Salve, purtroppo l'azienda è stata coinvolta in un incidente,stiamo lavorando per tornare a vostra disposizione. Saluti",,,,"['', '']",Iniziale,Media (185 caratteri)
FIX027,Charme & Relax - Catania,+393468568578,4.7,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX028,Stella Nails Art,+393755151706,5,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX029,Ottava Nota Estetica,+393208659625,4.9,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
FIX030,Vanità,+393493730424,4.8,2026-06-08 16:25,,,,,[''],Iniziale,Media (185 caratteri)
TESTA001,Laser & Beauty,+393451754364,4.9,2026-06-08 17:42,,,,,,A/B Test,A - Diretta Prezzo
TESTA002,Alessia Marino - Beauty & Brows II,+393475669954,4.7,2026-06-08 17:42,,,,,,A/B Test,A - Diretta Prezzo
TESTA003,Venus al Plaza,+393513375075,4.5,2026-06-08 17:42,,,,,,A/B Test,A - Diretta Prezzo
TESTA004,Nails Aesthetic Studio Erika Dei Pieri,+393471086106,5,2026-06-08 17:42,,,,,,A/B Test,A - Diretta Prezzo
TESTA005,CRYSTAL NAILS CATANIA,+393929151219,4.5,2026-06-08 17:42,,,,,,A/B Test,A - Diretta Prezzo
TESTA006,Extension ciglia Catania,+393248882599,5,2026-06-08 17:42,"Buona sera, in cosa consiste?",,,,,A/B Test,A - Diretta Prezzo
TESTA007,Lilium Lashbar Extension Ciglia Catania,+393248882508,5,2026-06-08 17:42,,,,,,A/B Test,A - Diretta Prezzo
TESTB001,Glow up,+393475533962,5,2026-06-08 17:42,,,,,,A/B Test,B - Domanda Aperta
TESTB002,Care Beauty Nails Catania,+393463000907,5,2026-06-08 17:42,"Grazie per avermi contattata ☺️ risponderò nel più breve tempo possibile, nel frattempo se ti va scrivimi pure che info ti piacerebbe ricevere.Se hai bisogno di me per la formazione puoi vistare il sito sulla sezione ✔️corsi ✔️ https://www.carebeautynails.it/corsi-nicole-academy

Se invece desideri prendere appuntamento Scrivimi al numero del salone 0956769649 ti risponderemo 
dalle 09:30/18:00 dal lun-ven

Puoi visitare la mia pagina INSTAGRAM clicca qui 
➡️📎 https://www.instagram.com/carmen_borzi_masterinstructor?igsh=MWx3OGd3MmQ2MjA3Ng%3D%3D&utm_source=qr
➡️ SHOP ONLINE WWW.Carebeautynails.it
➡️ TIK tok https://www.tiktok.com/@carebeauty_nails?_t=8c5h8vEOnO7&_r=1",,,,,A/B Test,B - Domanda Aperta
TESTB003,Angel Nails Makeup Catania,+393883405218,4.9,2026-06-08 17:42,,,,,,A/B Test,B - Domanda Aperta
TESTB004,Giulia Nails Bar,+393505929438,4.4,2026-06-08 17:42,"Ciao! 🥰
Grazie per il tuo messaggio, al momento siamo assenti.
Se desideri prenotare un appuntamento, clicca qui: https://widget.treatwell.it/salone/100014383/menu/  Se invece hai bisogno di altre informazioni, ti risponderemo al più presto 🙂
Ti ricordiamo che il salone é aperto dal martedì al sabato dalle 9:30 alle 19:30.
Grazie, a presto! 💕",,,,,A/B Test,B - Domanda Aperta
TESTB005,RV Beauty,+393279165658,4.8,2026-06-08 17:42,"Salve, non siamo interessati grazie 🙏🏻",,,,,A/B Test,B - Domanda Aperta
TESTB006,TRÈS CHIC,+393342040715,4.6,2026-06-08 17:42,,,,,,A/B Test,B - Domanda Aperta
TESTB007,Antonella Beauty Specialist - Centro Estetico,+393477720084,4.8,2026-06-08 17:42,Buona sera no grazie,,,,,A/B Test,B - Domanda Aperta
TESTC001,Horus Beauty di Maria Lanzafame,+393474090312,5,2026-06-08 17:42,,,,,,A/B Test,C - Problema Soluzione
TESTC002,Bellezza & Capelli,+393486430599,4.8,2026-06-08 17:42,,,,,,A/B Test,C - Problema Soluzione
TESTC003,Bellezza & Capelli,+393384801639,5,2026-06-08 17:42,,,,,,A/B Test,C - Problema Soluzione
TESTC004,Il Sogno di ogni donna Via Nuovalucello | Centro Estetico Catania,+393516090139,4.9,2026-06-08 17:42,,,,,,A/B Test,C - Problema Soluzione
TESTC005,Altea Beauty Concept,+393317185734,5,2026-06-08 17:42,,,,,,A/B Test,C - Problema Soluzione
TESTC006,BodyFaceStudio by Brigida Maugeri,+393496837650,4.9,2026-06-08 17:42,Grazie per aver contattato Bodyface Studio! Ti risponderemo appena possibile 😊💋,,,,,A/B Test,C - Problema Soluzione
EXP001,"Infinity Relax, estetica e benessere",+393938188193,4.6,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP002,Eidoss Estetica Centro Estetico Catania,+393465309089,4.5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP003,Maika'i Grazia Monaco,+393388615355,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP004,Armonia Donna,+393493582474,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP005,Nails My Passion di Valentina A. Coco,+393494591007,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP006,Beauty Zone Agata Pellegrino,+393282944219,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP007,Oasi Del Benessere Centro Estetico Di Jenny Spinella,+393401894031,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP008,Reale Benessere centro commerciale Ciclope,+393514585161,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP009,Marilù Nails,+393341990161,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP010,NailSensation,+393279359213,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP011,L'Essenza del Benessere,+393285982218,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP012,Il tempio della bellezza di Chiara Bonfiglio,+393926964393,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP013,Lo Scrigno del Benessere,+393270440457,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP014,BeBeauty - Body Concept,+393456002854,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP015,CHARMESTÉ Di Ilenja Tropea,+393404237906,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP016,SISTERS BEAUTY LAB CENTRO ESTETICO di Barbara trovato,+393518558744,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP017,Centro Bioestetico “Ibiscus”,+393480047286,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP018,Alma estetica & dimagrimento,+393476933734,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP019,Beauty Shop Profumerie,+393485195900,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP020,LAGUSTA ACIREALE,+393290111919,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP021,Bellezza e Profumo,+393383939513,4.8,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP022,Chapeau Professional (articoli per parrucchieri ed estetiste),+393762488098,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP023,Fenice beauty,+393450926419,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP024,Salute e Benessere,+393501685776,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP025,Cosmo Beauty Di Angela Giusto,+393452853044,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP026,Un Mare Di Bellezza forniture,+393201739430,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP027,Mondo Belleza Ingrosso Cosmetici E Manicure,+393778408586,4.2,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP028,Charme - Hair studio,+393914586790,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP029,"“V M Luxury Style”, Parrucchiere Unisex Misterbianco Catania, Parrucchiere Donna, Parrucchiere Uomo, Barbiere, Barber Shop",+393486042394,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP030,Vale Guidotto,+393514215501,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP031,Aphrodite Il Tempio Della Bellezza Di Arbaci Angela,+393475825539,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP032,ESTE' CENTRO ESTETICO di Stefania Russo,+393486615030,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP033,CoralBeauty Estetica di Barbara Corallo,+393484660675,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP034,Centro Olistico Elements,+393517198216,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP035,Germana Beauty Nails,+393791525577,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP036,Bflow Beauty Concept - By Paola (Estetica e Pilates),+393491279176,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP037,VyBi Nails Belpasso di Viviana Barbagallo,+393791116894,4.2,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP038,Kelù Bellezza e Benessere,+393515045930,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP039,Beautyland by Barbara Ventura,+393513209300,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP040,MOVE AND BEAUTY,+393760660237,4.8,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP041,Centro Estetico Oasi del benessere,+393203068216,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP042,Angela Catania Estetic lab,+393454340584,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP043,GP Esthetique,+393389991118,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP044,Ambra Vicari Beauty Studio,+393927512661,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP045,GMG Centro Estetico,+393277729222,4.5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP046,MD S.p.A.,+393207189041,4.2,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP047,"Centro estetico ""Il Girasole Beauty Center""",+393315695387,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP048,You B You Nails by Erika Nortier,+393667253370,4.8,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP049,Zeropeli S. G. la Punta,+393206798068,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP050,Centro Benessere Essenza Specializzati con il Metodo Snellessenza Dimagrire Modellare Ringiovanendo in Salute e Relax,+393476045094,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP051,RELEI - Beauty Concept di Amanda D’Urso | Acne Specialist,+393401707542,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP052,Centro estetico - Estèsia Wellness&Beauty,+393515923959,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP053,Farma Estetica | Epilazione Laser | Trattamenti Viso - Corpo | Nutrizione,+393703315708,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP054,Evolush - Evoluzione Estetica,+393471857011,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP055,L'arte del Benessere,+393497191666,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP056,La Beautè Centro Estetico,+393934787808,4.8,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP057,Armonia Della Bellezza,+393516351963,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP058,Dream Nails - Estetica e Benessere,+393316159755,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP059,Centro Estetico Tipittu,+393491220219,4.6,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP060,BioEstetica bellezza e benessere,+393341944634,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP061,Cleb Beauty,+393403532811,4.6,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP062,Lakshmi Beauty's,+393925708809,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP063,Estetica & Benessere di Annalisa S.,+393283412479,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP064,Beauty Station,+393470273618,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP065,Centro estetico meraki,+393478932286,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP066,Afrodite Centro Bellezza E Benessere,+393474993754,4.3,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP067,Shine Parrucchieri di Davide Salamone,+393472105687,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP068,Styling barber estetica Uomo Donna,+393406346350,4.6,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP069,Urban Beauty Catania,+393519080951,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP070,Glance Nails Professional,+393451663178,5,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP071,Sabaijai Thai Massage Catania,+393756116562,4.9,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP072,"L' UNIVERSO DEL RELAX,CENTRO ESTETICO-BENESSERE-MASSAGGI (Massaggi ed Estetica)",+393512480593,4.7,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP073,Be One - Massaggi ed Estetica Catania,+393472864022,4.8,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
EXP001,"Infinity Relax, estetica e benessere",+393938188193,4.6,2026-06-08 22:54,,,,,,Expansion Completa,Valore e Contesto
